Reporting Period,Project Number,Legacy Project Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
11/30/2022,358281,,,West Hempstead,Nassau,NY,11552,Hempstead,Town,36059406001,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/9/2021,2/15/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],25,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 400,25,50653.37,,10,11237,,No,No,Yes,40.7009006,-73.6537589,POINT (-73.6537589 40.7009006)
11/30/2022,346498,,,Plainview,Nassau,NY,11803,Oyster Bay,Town,36059519704,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/1/2021,12/21/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],20,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,20,31952.7,,7.6,8135,,No,No,Yes,40.7818375,-73.4764766,POINT (-73.4764766 40.7818375)
11/30/2022,153893,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059414900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/2/2018,10/12/2018,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,M215-60-2LL-S2x-IG [240V],44,Hyundai Heavy Industries Green Energy Co.,HiS-S260MG(BK),44,45500,,11.44,13958,,No,No,Yes,40.6887431,-73.5311732,POINT (-73.5311732 40.6887431)
11/30/2022,266137,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059409700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/1/2020,12/15/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],25,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,25,31727.25,,8.5,9547,,No,No,Yes,40.6965204,-73.5055678,POINT (-73.5055678 40.6965204)
11/30/2022,205660,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059415401,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/31/2019,9/17/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],26,"S-Energy Co., Ltd.",SN360M-10,26,35434.06,,9.36,9953,,No,No,Yes,40.6584973,-73.5318952,POINT (-73.5318952 40.6584973)
11/30/2022,211579,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059520800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/10/2019,11/6/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],22,"S-Energy Co., Ltd.",SN360M-10,22,31521.82,,7.92,9509,,No,No,Yes,40.7077107,-73.4709782,POINT (-73.4709782 40.7077107)
11/30/2022,219513,,,Jericho,Nassau,NY,11753,Oyster Bay,Town,36059518501,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/31/2019,1/22/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],35,"S-Energy Co., Ltd.",SN370M-10(B),35,48002.3,,12.95,13697,,No,No,Yes,40.7856535,-73.5517308,POINT (-73.5517308 40.7856535)
11/30/2022,182806,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059522000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/17/2019,6/26/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],25,"S-Energy Co., Ltd.",SN360M-10,25,36620,,9,10326,,No,No,Yes,40.677398,-73.4281932,POINT (-73.4281932 40.677398)
11/30/2022,232248,,,Merrick,Nassau,NY,11566,Hempstead,Town,36059415000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/23/2020,6/3/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],17,"S-Energy Co., Ltd.",SN370M-10(B),17,30449,,6.29,8712,,No,No,Yes,40.6693942,-73.5637854,POINT (-73.5637854 40.6693942)
11/30/2022,357280,,,Massapequa Park,Nassau,NY,11762,Oyster Bay,Town,36059521802,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/4/2021,12/20/2021,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],22,REC Solar,REC365AA Black,22,30715,,8.03,8758,,No,No,Yes,40.6759561,-73.4419674,POINT (-73.4419674 40.6759561)
11/30/2022,250866,,,Westbury,Nassau,NY,11590,Hempstead,Town,36059407801,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/6/2020,10/23/2020,Complete,Harvest Power,No,Enphase Energy Inc.,IQ7-60-x-US-& [240V],24,Canadian Solar Inc.,CS1H-325MS,24,29924.93,,7.8,8257,,No,No,Yes,40.7370588,-73.548343,POINT (-73.548343 40.7370588)
