Reporting Period,Project Number,Legacy Project Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
11/30/2022,191589,,,Massapequa Park,Nassau,NY,11762,Oyster Bay,Town,36059521602,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/19/2019,9/13/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],32,Solaria Corporation,Solaria PowerXT-360R-PD,32,45862.82,,11.52,13493,,No,No,Yes,40.6852705,-73.4433534,POINT (-73.4433534 40.6852705)
11/30/2022,353008,,,Farmingdale,Nassau,NY,11735,Oyster Bay,Town,36059520200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/20/2021,1/24/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],29,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 400,29,42506.41,,11.6,12373,,No,No,Yes,40.7291043,-73.4779697,POINT (-73.4779697 40.7291043)
11/30/2022,188671,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059415700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/13/2019,7/30/2019,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ7-60-x-US [240V],24,"Jinko Solar Co., Ltd",JKM310M-60,24,26342.4,,7.44,8189,,No,No,Yes,40.6472281,-73.5114595,POINT (-73.5114595 40.6472281)
11/30/2022,277985,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/27/2021,6/3/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],20,Hanwha Q CELLS,Q.PEAK DUO ML-G9+ 380,20,32160.8,,7.6,8437,,No,No,Yes,40.6375195,-73.628331,POINT (-73.628331 40.6375195)
11/30/2022,161269,,,Merrick,Nassau,NY,11566,Hempstead,Town,36059414800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/1/2018,1/17/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Silfab,SLG370M,26,32375.8,,9.62,8640,,No,No,Yes,40.6833768,-73.5424561,POINT (-73.5424561 40.6833768)
11/30/2022,152375,,,Farmingdale,Nassau,NY,11735,Oyster Bay,Town,36059520501,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/24/2018,1/3/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,CertainTeed,CT285M11-01,27,26701.65,,7.7,8003,,No,No,Yes,40.7252267,-73.4567083,POINT (-73.4567083 40.7252267)
11/30/2022,158543,,,Long Beach,Nassau,NY,11561,Long Beach,City,36059416600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/17/2018,1/14/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,"S-Energy Co., Ltd.",SN355M-10,31,38296.5,,11.01,12091,,No,No,Yes,40.5854452,-73.6748778,POINT (-73.6748778 40.5854452)
11/30/2022,183447,,,Long Beach,Nassau,NY,11561,Long Beach,City,36059416401,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/18/2019,9/13/2019,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ7-60-x-US [240V],17,"Jinko Solar Co., Ltd",JKM300M-60,17,20349,,5.1,6571,,No,No,Yes,40.5853022,-73.6956579,POINT (-73.6956579 40.5853022)
11/30/2022,110465,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/22/2018,5/29/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE10000A-US (240V),1,Silfab,SLA310M,33,39372.4,,10.23,11060,,No,No,Yes,40.7121544,-73.4963591,POINT (-73.4963591 40.7121544)
11/30/2022,181179,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/2/2019,5/16/2019,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ7-60-x-US [240V],22,"Jinko Solar Co., Ltd",JKM300M-60,22,31458,,6.6,7945,,No,No,Yes,40.6375195,-73.628331,POINT (-73.628331 40.6375195)
11/30/2022,225255,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/5/2019,3/11/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],21,"S-Energy Co., Ltd.",SN370M-10(B),21,30547,,7.77,8739,,No,No,Yes,40.6498481,-73.6278368,POINT (-73.6278368 40.6498481)
11/30/2022,263396,,,Massapequa Park,Nassau,NY,11762,Oyster Bay,Town,36059521500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/15/2020,3/23/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],18,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,18,24875.02,,6.12,7820,,No,No,Yes,40.6979479,-73.4445832,POINT (-73.4445832 40.6979479)
11/30/2022,381901,,,Baldwin,Nassau,NY,11510,Hempstead,Town,36059413804,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/13/2022,3/22/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7AS-66-E-ACM-US [240V],20,SunPower,SPR-A400-BLK-G-AC,20,32936.6,,8,9506,,No,No,Yes,40.6280022,-73.5969078,POINT (-73.5969078 40.6280022)
11/30/2022,224129,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059408500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/9/2019,2/12/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],24,"S-Energy Co., Ltd.",SN370M-10(B),24,37176,,8.88,11337,,No,No,Yes,40.69988,-73.5434857,POINT (-73.5434857 40.69988)
11/30/2022,313273,,,Oyster Bay,Nassau,NY,11771,Oyster Bay,Town,36059518000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/17/2021,7/27/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,22,32662.61,,8.36,8858,,No,No,Yes,40.8680567,-73.5310531,POINT (-73.5310531 40.8680567)
11/30/2022,454267,,,New Hyde Park,Nassau,NY,11040,North Hempstead,Town,36059302700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/22/2022,7/14/2022,Complete,NY State Solar (dba for NYSS LLC),No,SunPower,SPR-A400-BLK-G-AC [240V],20,SunPower,SPR-A400-BLK-G-AC,20,46608.5,,8,9658,,No,No,Yes,40.7405988,-73.6969674,POINT (-73.6969674 40.7405988)
11/30/2022,127646,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/25/2018,8/2/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,Silfab,SLA310M,17,18972,,5.27,6415,,No,No,Yes,40.7265502,-73.5003795,POINT (-73.5003795 40.7265502)
11/30/2022,263656,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059415300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/22/2020,11/19/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],20,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,20,33102.8,,6.8,7155,,No,No,Yes,40.6722033,-73.5348249,POINT (-73.5348249 40.6722033)
11/30/2022,188933,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059521302,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/18/2019,9/4/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],26,Solaria Corporation,Solaria PowerXT-360R-PD,26,37982.26,,9.36,10159,,No,No,Yes,40.6567758,-73.4782733,POINT (-73.4782733 40.6567758)
11/30/2022,181271,,,Westbury,Nassau,NY,11590,Hempstead,Town,36059407700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/8/2019,7/5/2019,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ6-60-x-US [240V],28,"Jinko Solar Co., Ltd",JKM300M-60,28,39805,,8.4,9394,,No,No,Yes,40.7367622,-73.5702361,POINT (-73.5702361 40.7367622)
11/30/2022,102101,,,Baldwin,Nassau,NY,11510,Hempstead,Town,36059413700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/29/2018,6/15/2018,Complete,Grid City Electric Corp,No,SolarEdge Technologies Ltd.,SE6000H-US,1,LG Electronics,LG335N1C-A5,25,29312.5,,8.38,8238,,No,No,Yes,40.6465468,-73.6098142,POINT (-73.6098142 40.6465468)
11/30/2022,275526,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/9/2020,1/13/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-US [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,22,42643.08,,7.48,8283,,No,No,Yes,40.7206369,-73.5137848,POINT (-73.5137848 40.7206369)
11/30/2022,133650,,,Jericho,Nassau,NY,11753,Oyster Bay,Town,36059518501,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/24/2018,8/28/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,Silfab,SLG370M,16,32305,,5.92,7786,,No,No,Yes,40.7856535,-73.5517308,POINT (-73.5517308 40.7856535)
11/30/2022,449902,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/29/2022,5/25/2022,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7A-72-2-US [240V],16,REC Solar,REC400AA Pure,16,27715,,6.4,8005,,No,No,Yes,40.6304882,-73.6436456,POINT (-73.6436456 40.6304882)
11/30/2022,447563,,,Farmingdale,Nassau,NY,11735,Oyster Bay,Town,36059520600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/24/2022,7/13/2022,Complete,NY State Solar (dba for NYSS LLC),No,SunPower,SPR-A400-BLK-G-AC [240V],10,SunPower,SPR-A400-BLK-G-AC,10,21435.5,,4,4153,,No,No,Yes,40.7144681,-73.4372606,POINT (-73.4372606 40.7144681)
11/30/2022,238918,,,Atlantic Beach,Nassau,NY,11509,Hempstead,Town,36059416300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/25/2020,6/18/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],34,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,34,40297.26,,11.56,12333,,No,No,Yes,40.5860567,-73.7250967,POINT (-73.7250967 40.5860567)
11/30/2022,274828,,,Baldwin,Nassau,NY,11510,Hempstead,Town,36059413500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/9/2020,4/8/2021,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],29,LG Electronics Inc.,LG375Q1C-V5,29,47379,,10.88,10229,,No,No,Yes,40.6693203,-73.6107541,POINT (-73.6107541 40.6693203)
11/30/2022,383812,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/2/2022,3/21/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],20,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 400,20,33978.75,,8,8777,,No,No,Yes,40.6304882,-73.6436456,POINT (-73.6436456 40.6304882)
11/30/2022,447852,,,Seaford,Nassau,NY,11783,Oyster Bay,Town,36059409500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/21/2022,7/14/2022,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7A-72-2-US [240V],32,REC Solar,REC400AA Pure,32,40535,,12.8,13770,,No,No,Yes,40.7056,-73.4897758,POINT (-73.4897758 40.7056)
11/30/2022,252171,,,Merrick,Nassau,NY,11566,Hempstead,Town,36059408400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/6/2020,12/14/2020,Complete,EmPower Solar,No,SunPower,SPR-A415-G-AC [240V],25,Sunpower,SPR-A415-G-AC,25,32817.65,,10.38,10103,,No,No,Yes,40.6935665,-73.5633932,POINT (-73.5633932 40.6935665)
11/30/2022,293770,,,Baldwin,Nassau,NY,11510,Hempstead,Town,36059413804,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/25/2021,6/3/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],20,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,20,29460.8,,7.6,8724,,No,No,Yes,40.6280022,-73.5969078,POINT (-73.5969078 40.6280022)
11/30/2022,120547,,,Seaford,Nassau,NY,11783,Hempstead,Town,36059416000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/14/2018,8/28/2018,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ6-60-x-US [240V],24,"Jinko Solar Co., Ltd",JKM290M-60,24,24151.2,,6.96,8764,,No,No,Yes,40.6705088,-73.4919465,POINT (-73.4919465 40.6705088)
11/30/2022,181255,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059414900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/1/2019,5/6/2019,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ7-60-x-US [240V],33,"Jinko Solar Co., Ltd",JKM300M-60,33,43530,,9.9,12328,,No,No,Yes,40.6887431,-73.5311732,POINT (-73.5311732 40.6887431)
11/30/2022,289546,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059415700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/5/2021,8/18/2021,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],21,Hanwha Q CELLS,Q.PEAK DUO-G6 340,21,27000,,7.14,8020,,No,No,Yes,40.6472281,-73.5114595,POINT (-73.5114595 40.6472281)
11/30/2022,266164,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059409700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/1/2020,10/29/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],18,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,18,24875.02,,6.12,7535,,No,No,Yes,40.6965204,-73.5055678,POINT (-73.5055678 40.6965204)
11/30/2022,324921,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059521400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/5/2021,12/6/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],25,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,25,37955.87,,9.5,13026,,No,No,Yes,40.6576004,-73.4640836,POINT (-73.4640836 40.6576004)
11/30/2022,291628,,,Island Park,Nassau,NY,11558,Hempstead,Town,36059416201,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/19/2021,3/22/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,22,41168.38,,8.36,9956,,No,No,Yes,40.6260687,-73.6811773,POINT (-73.6811773 40.6260687)
11/30/2022,100444,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059415802,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/5/2018,5/7/2018,Complete,Grid City Electric Corp,No,SolarEdge Technologies Ltd.,SE10000A-US (240V),1,Silfab,SLA310M,40,42840,,12.4,12396,,No,No,Yes,40.6832976,-73.5025877,POINT (-73.5025877 40.6832976)
11/30/2022,263338,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059415402,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/8/2020,12/11/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],21,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,21,27871.69,,7.14,8467,,No,No,Yes,40.6461466,-73.5223075,POINT (-73.5223075 40.6461466)
11/30/2022,196912,,,Merrick,Nassau,NY,11566,Hempstead,Town,36059415000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/15/2019,9/13/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],20,Trina Solar,TSM-305DD05A.05(II),20,25416.7,,6.1,7596,,No,No,Yes,40.6693942,-73.5637854,POINT (-73.5637854 40.6693942)
11/30/2022,192082,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059520700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/27/2019,8/13/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],31,"S-Energy Co., Ltd.",SN360M-10,31,38589.96,,11.16,11998,,No,No,Yes,40.7137448,-73.4701386,POINT (-73.4701386 40.7137448)
11/30/2022,328831,,,Hicksville,Nassau,NY,11801,Oyster Bay,Town,36059519000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/29/2021,11/12/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],37,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,37,53293.49,,14.06,14504,,No,No,Yes,40.751994,-73.5397121,POINT (-73.5397121 40.751994)
11/30/2022,265201,,,Baldwin,Nassau,NY,11510,Hempstead,Town,36059413803,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/25/2020,11/19/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],16,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,16,30022.24,,5.44,6938,,No,No,Yes,40.6273483,-73.6078072,POINT (-73.6078072 40.6273483)
11/30/2022,120401,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/14/2018,8/28/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,Silfab,SLA310M,24,30635.2,,7.44,7911,,No,No,Yes,40.7206369,-73.5137848,POINT (-73.5137848 40.7206369)
11/30/2022,252274,,,Long Beach,Nassau,NY,11561,Long Beach,City,36059416801,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/27/2020,12/11/2020,Complete,EmPower Solar,No,SunPower,SPR-E20-327-E-AC [240V],26,Sunpower,SPR-E20-327-E-AC,26,26192.79,,8.5,11137,,No,No,Yes,40.5909242,-73.6423875,POINT (-73.6423875 40.5909242)
11/30/2022,109658,,,Island Park,Nassau,NY,11558,Hempstead,Town,36059416201,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/16/2018,3/15/2018,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ6-60-x-US (240V),39,LG Electronics,LG320N1C-G4,39,41808,,12.48,14650,,No,No,Yes,40.6260687,-73.6811773,POINT (-73.6811773 40.6260687)
11/30/2022,309213,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059521100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/21/2021,8/17/2021,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],30,REC Solar,REC360AA Black,30,37721,,10.8,11755,,No,No,Yes,40.6884053,-73.4706593,POINT (-73.4706593 40.6884053)
11/30/2022,296845,,,Massapequa Park,Nassau,NY,11762,Oyster Bay,Town,36059521700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/15/2021,6/10/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,22,32024.38,,8.36,10665,,No,No,Yes,40.6669221,-73.4543284,POINT (-73.4543284 40.6669221)
11/30/2022,307175,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059414800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/7/2021,7/20/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,14,26427.06,,5.32,5572,,No,No,Yes,40.6833768,-73.5424561,POINT (-73.5424561 40.6833768)
11/30/2022,217005,,,Plainview,Nassau,NY,11803,Oyster Bay,Town,36059519703,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/29/2019,1/22/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],20,"S-Energy Co., Ltd.",SN370M-10(B),20,28997,,7.4,9277,,No,No,Yes,40.788537,-73.4862985,POINT (-73.4862985 40.788537)
11/30/2022,277983,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/15/2020,3/3/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],24,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,24,34947.96,,9.12,11141,,No,No,Yes,40.6229342,-73.6271897,POINT (-73.6271897 40.6229342)
11/30/2022,250058,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/12/2020,7/9/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],17,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,17,23911.13,,5.78,6089,,No,No,Yes,40.6229342,-73.6271897,POINT (-73.6271897 40.6229342)
11/30/2022,100582,,,East Meadow,Nassau,NY,11554,Hempstead,Town,36059408100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/28/2017,2/14/2018,Complete,Grid City Electric Corp,No,SolarEdge Technologies Ltd.,SE10000A-US (240V),1,Silfab,SLA310M,34,34650,,10.54,13307,,No,No,Yes,40.7062483,-73.5557891,POINT (-73.5557891 40.7062483)
11/30/2022,366402,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/10/2021,1/27/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],10,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 400,10,29635.5,,4,4484,,No,No,Yes,40.6304882,-73.6436456,POINT (-73.6436456 40.6304882)
11/30/2022,275690,,,Williston Park,Nassau,NY,11596,North Hempstead,Town,36059303302,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/11/2020,3/9/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],19,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,19,27413.91,,6.46,7154,,No,No,Yes,40.7583537,-73.6442314,POINT (-73.6442314 40.7583537)
11/30/2022,188657,,,East Rockaway,Nassau,NY,11518,Hempstead,Town,36059412200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/14/2019,12/18/2019,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ7-60-x-US [240V],31,"Jinko Solar Co., Ltd",JKM310M-60,31,44480.1,,9.61,12379,,No,No,Yes,40.6332349,-73.6672123,POINT (-73.6672123 40.6332349)
11/30/2022,308458,,,Bethpage,Nassau,NY,11714,Oyster Bay,Town,36059520002,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/8/2021,8/2/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],31,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,31,42668.63,,11.78,12999,,No,No,Yes,40.7418349,-73.4754641,POINT (-73.4754641 40.7418349)
11/30/2022,280932,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059409600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/16/2020,5/10/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],28,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,28,38235.12,,10.64,14291,,No,No,Yes,40.7006831,-73.5219428,POINT (-73.5219428 40.7006831)
11/30/2022,159147,,,New Hyde Park,Nassau,NY,11040,North Hempstead,Town,36059303000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/12/2018,2/8/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,CertainTeed,CT285M11-01,26,27008.6,,7.41,7918,,No,No,Yes,40.7354356,-73.6852944,POINT (-73.6852944 40.7354356)
11/30/2022,119538,,,Plainview,Nassau,NY,11803,Oyster Bay,Town,36059519900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/2/2018,6/7/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Silfab,SLG370M,11,15452.8,,4.07,5125,,No,No,Yes,40.7623108,-73.4842999,POINT (-73.4842999 40.7623108)
